rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.14376274,1000000000,0.14376274,0
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.14324124,1000000000,0.14324124,0
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.0,1000000000,1,0
1,3,0.044859212,0.044859212,0.044859212,0.044859212
2,4,0.08109165,0.08093642,0.08093642,0.036232438
3,5,0.018745106,0.018745106,0.09580168,-0.062346544
4,6,0.088335864,0.014432859,0.1039406,0.06959076
5,7,0.0,0.0,0.088335864,-0.088335864
6,8,0.04993209,0.027867852,0.04993209,0.04993209
7,9,0.04919141,0.04919141,0.077021204,-0.0007406771
8,10,0.03515692,0.03515692,0.042384394,-0.014034491
9,11,0.18053596,0.15663044,0.19098991,0.14537904
10,12,0.0785934,0.0785934,0.121965975,-0.101942554
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.08240361,1000000000,0.08240361,0
1,3,0.02033295,0.090401515,0.090401515,-0.06207066
2,4,0.14779939,0.12263938,0.14904006,0.12746644
3,5,0.14753559,0.020241315,0.020241315,-0.00026379526
4,6,0.09016483,0.04315218,0.10135629,-0.05737076
5,7,0.10082032,0.06342681,0.06342681,0.010655485
6,8,0.02974106,0.036672488,0.110724226,-0.071079254
7,9,0.038366374,0.040227253,0.054080255,0.008625314
8,10,0.046552118,0.028497133,0.028497133,0.008185744
9,11,0.08239687,0.03075393,0.0816282,0.035844754
10,12,0.08153565,0.021116061,0.03434165,-0.00086122006
11,13,0.03804902,0.013127139,0.095157556,-0.043486632
12,14,0.09853613,0.0742905,0.0742905,0.060487106
13,15,0.11309861,0.049623575,0.15268838,0.01456248
14,16,0.12441762,0.07741108,0.1309483,0.011319011
15,17,0.10478663,0.053517208,0.10104198,-0.01963099
16,18,0.09921514,0.049149774,0.08400698,-0.0055714846
17,19,0.13094588,0.06791978,0.06791978,0.031730734
18,20,0.062312175,0.062988035,0.10372504,-0.068633705
19,21,0.10712849,0.038730733,0.09109811,0.04481632
20,22,0.06394678,0.03131287,0.095873915,-0.04318171
21,23,0.10843807,0.03044785,0.09126086,0.044491284
22,24,0.062417347,0.012415834,0.09223691,-0.04602072
23,25,0.10733329,0.012174351,0.09123565,0.04491594
24,26,0.12595761,0.037609342,0.048451703,0.01862432
25,27,0.09220045,0.057136994,0.12241425,-0.033757158
26,28,0.13110666,0.06231007,0.09064721,0.03890621
27,29,0.12691568,0.030498855,0.07599071,-0.0041909814
28,30,0.12613368,0.01231008,0.01231008,-0.00078199804
29,31,0.14301607,0.04454396,0.059987616,0.01688239
30,32,0.08352378,0.01293016,0.11344033,-0.05949229
31,33,0.15751547,0.06843587,0.1204805,0.073991686
32,34,0.089531586,0.038925596,0.1396707,-0.06798388
33,35,0.075188726,0.051715713,0.08949016,-0.014342859
34,36,0.12485534,0.034216024,0.11122592,0.049666613
35,37,0.046583418,0.052785583,0.13793148,-0.078271925
36,38,0.15541123,0.07840771,0.16989914,0.108827814
37,39,0.17500147,0.11122745,0.13174997,0.019590244
38,40,0.037132505,0.023667935,0.176227,-0.13786897
39,41,0.17866263,0.036739863,0.18296832,0.14153013
40,42,0.1382989,0.05368266,0.15744634,-0.04036373
41,43,0.19746032,0.080592744,0.12192459,0.059161425
42,44,0.17327656,0.018272448,0.07472589,-0.024183765
43,45,0.17415729,0.011840865,0.011840865,0.00088073313
44,46,0.19627146,0.012141756,0.07606062,0.022114173
45,47,0.08675213,0.02428062,0.1872906,-0.10951933
46,48,0.1548205,0.044669826,0.12991638,0.06806837
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.1569082,1000000000,0.1569082,0
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.11630736,1000000000,0.11630736,0
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.14206395,1000000000,0.14206395,0
1,3,0.0915806,0.08746276,0.08746276,-0.050483346
2,4,0.109587006,0.067605205,0.09966614,0.018006407
3,5,0.09578987,0.14182803,0.17348163,-0.013797134
4,6,0.051449362,0.088650726,0.11587234,-0.04434051
5,7,0.24908048,0.19422169,0.27499455,0.19763112
6,8,0.15730608,0.085979044,0.14258766,-0.091774404
7,9,0.16349444,0.11925605,0.23186274,0.006188363
8,10,0.04442151,0.063880816,0.1589625,-0.11907293
9,11,0.08837126,0.05795554,0.08445944,0.043949753
10,12,0.10190962,0.037147183,0.10095575,0.013538361
