rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.0695473,1000000000,0.0695473,0
1,3,0.076650366,0.09998435,0.09998435,0.007103063
2,4,0.08223349,0.09941455,0.10865613,0.0055831224
3,5,0.030910386,0.05457453,0.07269443,-0.0513231
4,6,0.09593656,0.06727459,0.07583983,0.06502617
5,7,0.041324273,0.04725963,0.0779153,-0.054612286
6,8,0.1842454,0.15637594,0.19476306,0.14292112
7,9,0.15093374,0.06464194,0.06464194,-0.03331165
8,10,0.06551657,0.04893803,0.11900178,-0.085417174
9,11,0.064724594,0.002233044,0.002233044,-0.00079197437
10,12,0.22012831,0.08809053,0.1966726,0.15540372
11,13,0.016001517,0.025641507,0.2192568,-0.20412679
12,14,0.02761712,0.0236859,0.0236859,0.011615602
13,15,0.032259237,0.02623871,0.037112538,0.004642118
14,16,0.03694073,0.015601512,0.03397441,0.004681494
15,17,0.04951741,0.01965695,0.038095,0.012576681
16,18,0.054325957,0.03361759,0.045936245,0.004808545
17,19,0.028396638,0.012962944,0.040775232,-0.025929319
18,20,0.19634268,0.18667068,0.19549657,0.16794604
19,21,0.23720664,0.123185545,0.123185545,0.04086396
20,22,0.06480181,0.040391255,0.24480931,-0.17240483
21,23,0.033884797,0.017773116,0.032412227,-0.030917015
22,24,0.04233581,0.012879889,0.012879889,0.008451011
