rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.17817828,1000000000,0.17817828,0
1,3,0.12888043,0.15038253,0.15038253,-0.049297854
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.02764465,1000000000,0.02764465,0
1,3,0.06519525,0.077943355,0.077943355,0.0375506
2,4,0.064062804,0.010107505,0.010107505,-0.0011324435
3,5,0.009299524,0.03182948,0.06663334,-0.05476328
4,6,0.007008701,0.004954835,0.004954835,-0.002290823
5,7,0.0051603885,0.0064096693,0.007344528,-0.0018483126
6,8,0.046698283,0.031272236,0.049646296,0.041537896
7,9,0.03489485,0.03523285,0.056529257,-0.011803433
8,10,0.05849378,0.058644887,0.06599868,0.023598932
9,11,0.015957367,0.015456993,0.060074415,-0.042536415
10,12,0.10395701,0.09635555,0.10570891,0.08799964
11,13,0.018210098,0.008701136,0.105763234,-0.085746914
12,14,0.0067035677,0.00979957,0.021044988,-0.01150653
13,15,0.007386498,0.00785125,0.010788822,0.00068293046
14,16,0.080686785,0.0687412,0.07882592,0.07330029
15,17,0.017722473,0.0066678165,0.079280734,-0.06296431
16,18,0.019740606,0.010065159,0.0135177085,0.0020181332
17,19,0.08583977,0.015976561,0.07845555,0.06609917
18,20,0.07972478,0.0042892,0.018534556,-0.0061149895
19,21,0.080789894,0.008661579,0.008719643,0.0010651127
20,22,0.08522907,0.0038869758,0.018638866,0.004439175
21,23,0.08607181,0.0086231455,0.008668058,0.0008427426
22,24,0.06429535,0.04470779,0.06431425,-0.02177646
23,25,0.019212723,0.014874411,0.07440068,-0.04508263
24,26,0.074868575,0.07391951,0.07777888,0.055655852
25,27,0.10851419,0.044332635,0.123980336,0.033645615
26,28,0.005141128,0.0059472993,0.109440655,-0.103373066
27,29,0.011263065,0.007757788,0.015398367,0.006121937
28,30,0.101389974,0.045177978,0.099848546,0.09012691
29,31,0.10297317,0.006420587,0.006420587,0.0015831962
30,32,0.04923162,0.04850294,0.06846909,-0.053741552
31,33,0.05203098,0.022261072,0.06666054,0.002799362
32,34,0.07118697,0.032862328,0.040651742,0.019155987
33,35,0.074028976,0.028310092,0.028310092,0.002842009
34,36,0.08677631,0.025587019,0.025587019,0.012747332
35,37,0.07524679,0.014161755,0.020438854,-0.01152952
36,38,0.08542671,0.013113314,0.017800033,0.010179922
37,39,0.0042418954,0.0046535865,0.08740393,-0.08118481
38,40,0.011265883,0.010274211,0.010274211,0.007023988
39,41,0.012339929,0.010841376,0.010841376,0.0010740459
40,42,0.0088921795,0.004764946,0.008782682,-0.0034477497
41,43,0.009780586,0.0047086976,0.0076738033,0.0008884063
42,44,0.022705698,0.0061025294,0.02400207,0.012925113
43,45,0.052136477,0.014384471,0.03954307,0.029430779
44,46,0.01249304,0.006729642,0.062760286,-0.039643437
45,47,0.009725468,0.0017820379,0.016418684,-0.0027675722
46,48,0.059973232,0.015468614,0.061035383,0.050247766
47,49,0.060334276,0.0077047907,0.0077047907,0.00036104396
48,50,0.005099044,0.0048298575,0.059863996,-0.055235233
49,51,0.009715008,0.00468077,0.005060911,0.0046159634
50,52,0.109248266,0.017610554,0.104009554,0.09953326
51,53,0.09279108,0.027070148,0.029194724,-0.016457185
