rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.06289319,1000000000,0.06289319,0
1,3,0.055849355,0.104951784,0.104951784,-0.007043835
2,4,0.16817744,0.148007,0.148007,0.11232808
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.023131564,1000000000,0.023131564,0
1,3,0.036948282,0.033856068,0.033856068,0.013816718
2,4,0.10158466,0.10209636,0.10270397,0.06463638
3,5,0.016662722,0.027887763,0.10399008,-0.08492193
4,6,0.045062073,0.0437333,0.0437333,0.02839935
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.06289319,1000000000,0.06289319,0
1,3,0.055849355,0.104951784,0.104951784,-0.007043835
2,4,0.16817744,0.148007,0.148007,0.11232808
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.023131564,1000000000,0.023131564,0
1,3,0.036948282,0.033856068,0.033856068,0.013816718
2,4,0.10158466,0.10209636,0.10270397,0.06463638
3,5,0.016662722,0.027887763,0.10399008,-0.08492193
4,6,0.045062073,0.0437333,0.0437333,0.02839935
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.08630406,1000000000,0.08630406,0
1,3,0.037140187,0.10076423,0.10076423,-0.049163874
2,4,0.10283778,0.10896036,0.10896036,0.065697595
3,5,0.11869118,0.05085836,0.05085836,0.015853405
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.063462086,1000000000,0.063462086,0
1,3,0.05521744,0.07448886,0.07448886,-0.008244645
2,4,0.059155446,0.08003979,0.08003979,0.0039380044
3,5,0.030583987,0.0557699,0.0557699,-0.028571459
4,6,0.046866436,0.03935415,0.03935415,0.016282449
5,7,0.033952117,0.03734858,0.06526787,-0.012914319
6,8,0.023086283,0.02413556,0.02413556,-0.010865834
7,9,0.044190213,0.01572143,0.02972459,0.02110393
8,10,0.03198239,0.01587073,0.027939295,-0.012207825
9,11,0.022278208,0.019315062,0.030725991,-0.00970418
10,12,0.08606434,0.049180172,0.09248168,0.063786134
11,13,0.08981822,0.08774312,0.12449704,0.0037538782
12,14,0.19024463,0.15468699,0.15468699,0.10042641
13,15,0.060707156,0.06265705,0.19366357,-0.12953748
14,16,0.20221399,0.046402387,0.19684657,0.14150684
15,17,0.19894953,0.029778453,0.032741893,-0.003264457
16,18,0.10257493,0.042522512,0.14843422,-0.0963746
17,19,0.20741428,0.01746501,0.1481092,0.104839355
18,20,0.19442694,0.027970238,0.043743998,-0.012987345
19,21,0.21063906,0.015407697,0.043465454,0.01621212
20,22,0.20504728,0.018134423,0.025513146,-0.00559178
21,23,0.20221399,0.0,0.018134423,-0.002833292
22,24,0.21446104,0.016502542,0.031602908,0.012247056
23,25,0.20877416,0.0076603596,0.014655295,-0.005686879
24,26,0.21405838,0.012112325,0.019888144,0.00528422
25,27,0.21775797,0.011293522,0.01679091,0.0036995858
26,28,0.022200653,0.017434314,0.2112931,-0.19555731
27,29,0.1642597,0.13451287,0.15411948,0.14205904
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.09574461,1000000000,0.09574461,0
1,3,0.04840598,0.11949257,0.11949257,-0.04733863
2,4,0.028292993,0.06787246,0.06787246,-0.020112986
3,5,0.04896319,0.05761169,0.05761169,0.020670196
4,6,0.06666967,0.059254486,0.092628576,0.017706484
5,7,0.059381608,0.02904629,0.09889011,-0.007288065
6,8,0.07609543,0.057001736,0.10461385,0.016713824
7,9,0.06426802,0.03999536,0.075215176,-0.011827409
8,10,0.0023153014,0.028464254,0.06442224,-0.06195272
9,11,0.034302253,0.03439844,0.03439844,0.03198695
10,12,0.03312494,0.033543706,0.046925094,-0.0011773147
11,13,0.03553544,0.032288168,0.032288168,0.0024105012
12,14,0.028232116,0.0032144873,0.04430939,-0.0073033236
13,15,0.045564782,0.029968202,0.0360189,0.017332666
14,16,0.044888817,0.027949885,0.048255138,-0.0006759651
15,17,0.046614334,0.028023478,0.032457955,0.0017255172
16,18,0.06545771,0.0053666593,0.08049183,0.018843375
17,19,0.08833749,0.042604405,0.043201752,0.02287978
18,20,0.07287467,0.034943204,0.05517177,-0.015462816
19,21,0.07601715,0.029457994,0.029457994,0.003142476
20,22,0.033996847,0.0029692363,0.080620594,-0.042020302
21,23,0.032956146,0.0026713684,0.046785854,-0.0010407008
22,24,0.035466675,0.0023747706,0.031546466,0.002510529
23,25,0.047296867,0.03287302,0.046985734,0.011830192
24,26,0.05012888,0.032418557,0.032418557,0.002832014
25,27,0.05350731,0.023130389,0.04030391,0.0033784285
26,28,0.09093549,0.009109152,0.10470383,0.03742818
27,29,0.11559859,0.04239015,0.045193058,0.024663098
28,30,0.10234805,0.03591516,0.055767585,-0.013250537
29,31,0.099580094,0.032208826,0.032208826,-0.0027679577
30,32,0.045243494,0.003505196,0.093074694,-0.0543366
31,33,0.04478541,0.0034906035,0.04821618,-0.00045808405
32,34,0.046537194,0.003211952,0.03170929,0.0017517842
33,35,0.057276305,0.02954342,0.04826104,0.01073911
34,36,0.059192978,0.029859168,0.032537952,0.001916673
35,37,0.06224161,0.023219315,0.04124696,0.0030486323
36,38,0.08721674,0.005507776,0.10543669,0.024975132
37,39,0.07179949,0.004929265,0.05514443,-0.015417255
38,40,0.07519089,0.0044806036,0.028980495,0.0033914
39,41,0.0921369,0.037418827,0.05100589,0.01694601
40,42,0.09764758,0.035792124,0.035792124,0.0055106804
41,43,0.083547406,0.019447848,0.04703359,-0.014100172
42,44,0.046890546,0.0031259959,0.07567819,-0.03665686
43,45,0.049699236,0.00310092,0.031761345,0.00280869
44,46,0.0535059,0.0027556336,0.039962478,0.0038066655
45,47,0.06389038,0.02147722,0.03461722,0.010384481
46,48,0.110356756,0.010156233,0.112508275,0.046466373
47,49,0.09777302,0.008465282,0.055612072,-0.012583733
48,50,0.09659975,0.0073799402,0.030893203,-0.0011732727
49,51,0.121529795,0.038304392,0.05711176,0.024930045
50,52,0.11769399,0.040929023,0.040929023,-0.0038358048
51,53,0.105757535,0.020084413,0.04931511,-0.011936456
52,54,0.057156876,0.003525951,0.088312075,-0.04860066
53,55,0.0588059,0.003685877,0.03193678,0.0016490258
54,56,0.062285226,0.0034808235,0.041053005,0.0034793243
55,57,0.07212666,0.021576816,0.03576865,0.009841431
56,58,0.09110285,0.005216859,0.08737452,0.018976197
57,59,0.096855395,0.0048893024,0.035739593,0.005752541
58,60,0.08280529,0.004548733,0.046950646,-0.014050104
59,61,0.10244648,0.018371344,0.043465037,0.01964119
60,62,0.06360754,0.0033005616,0.077218704,-0.038838938
61,63,0.09574461,0.0,0.10984592,0.032137066
62,64,0.028292993,0.0,0.08846614,-0.06745162
63,65,0.0,0.0023153014,0.028292993,-0.028292993
64,66,0.06666967,0.0,0.06666967,0.06666967
65,67,0.042990863,0.027676105,0.08044388,-0.02367881
66,68,0.028292993,0.0,0.03449511,-0.01469787
67,69,0.045564782,0.0,0.035895713,0.017271789
68,70,0.041435443,0.011621233,0.04549498,-0.004129339
69,71,0.06666967,0.0,0.0790965,0.02523423
70,72,0.08833749,0.0,0.042604405,0.021667816
71,73,0.07490456,0.04048266,0.06100896,-0.013432927
72,74,0.034302253,0.0,0.07984125,-0.040602308
73,75,0.042990863,0.0,0.054233585,0.00868861
74,76,0.05510811,0.029710706,0.033356838,0.012117248
75,77,0.09574461,0.0,0.10184669,0.0406365
76,78,0.11559859,0.0,0.04239015,0.01985398
77,79,0.08813853,0.037195187,0.0627285,-0.027460061
78,80,0.045564782,0.0,0.081303544,-0.042573746
79,81,0.041435443,0.0,0.04549498,-0.004129339
80,82,0.058134757,0.019659,0.03709404,0.016699314
81,83,0.08833749,0.0,0.08952803,0.030202731
82,84,0.07490456,0.0,0.06100896,-0.013432927
