rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
217,219,0.074315265,0.0,0.044360165,-0.0012606308
218,220,0.04960251,0.0,0.09827942,-0.024712756
219,221,0.062156625,3.1062245e-05,0.091483176,0.012554117
220,222,0.07557443,0.0,0.040753856,0.013417803
221,223,0.0743128,0.0,0.044361748,-0.0012616292
222,224,0.06419181,0.012019374,0.044274636,-0.010120988
223,225,0.075306624,0.0,0.051929142,0.011114813
224,226,0.07619777,0.0,0.05494105,0.00089114904
225,227,0.08569601,0.024907906,0.06640117,0.009498239
226,228,0.0854593,0.02586677,0.037998084,-0.0002367124
227,229,0.040643115,0.013987938,0.103553355,-0.044816185
228,230,0.027746655,0.0094301365,0.024741022,-0.01289646
229,231,0.028398035,0.0010131571,0.0010131571,0.00065138005
230,232,0.05075003,0.012439942,0.044620242,0.022351993
231,233,0.0649907,0.011279358,0.08877715,0.014240671
232,234,0.07791229,0.0075448584,0.041094862,0.012921594
233,235,0.07673506,0.009844877,0.043974597,-0.0011772364
234,236,0.034306124,0.009386194,0.093024865,-0.042428933
235,237,0.034492336,0.0012334485,0.0012334485,0.00018621236
236,238,0.054778963,0.011552425,0.046846177,0.020286627
237,239,0.06391702,0.0032041136,0.094819754,0.009138055
238,240,0.07745991,0.0022213764,0.040958013,0.013542891
239,241,0.07659775,0.0075225076,0.045127213,-0.00086215883
240,242,0.036315415,0.004642846,0.095557645,-0.040282335
241,243,0.05382572,0.008075609,0.04645078,0.017510306
242,244,0.062443122,0.007701247,0.094826736,0.008617401
243,245,0.07627867,0.002334151,0.041161135,0.013835549
244,246,0.07496468,0.00355475,0.044871178,-0.0013139918
245,247,0.053843006,0.0005761119,0.10138662,-0.021121673
246,248,0.062482733,0.00039152327,0.094743155,0.008639727
247,249,0.076301396,0.0003910201,0.041166842,0.013818663
248,250,0.074954525,0.0004803014,0.044831313,-0.0013468713
249,251,0.06622175,0.011457525,0.04654674,-0.008732773
250,252,0.07704208,0.0047736103,0.05255977,0.010820329
251,253,0.07849373,0.0064327526,0.055769574,0.0014516488
252,254,0.08676626,0.009292347,0.069076166,0.008272529
253,255,0.08619189,0.009532225,0.03875228,-0.00057436526
254,256,0.09054698,0.0041705878,0.03809062,0.004355088
255,257,0.034403265,0.0005122789,0.10696691,-0.056143716
256,258,0.035174333,0.0010643388,0.0018221901,0.00077106804
257,259,0.054778967,1.393876e-08,0.04682604,0.019604634
258,260,0.06391702,1.5472292e-08,0.094819754,0.009138051
259,261,0.07745991,1.1669439e-08,0.040958017,0.013542891
260,262,0.07659775,1.0536712e-08,0.045127213,-0.00086215883
261,263,0.03628829,0.00030209727,0.09544736,-0.04030946
262,264,0.053660985,0.00059333025,0.046428625,0.017372694
263,265,0.06245613,0.00014346773,0.09473966,0.008795146
264,266,0.076291576,0.00011937112,0.041164894,0.013835445
265,267,0.07498989,0.00014277206,0.04487689,-0.0013016835
266,268,0.053677633,0.0012372056,0.10138317,-0.02131226
267,269,0.06256488,0.00076837523,0.09474057,0.008887246
