rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.02203266,1000000000,0.02203266,0
1,3,0.037052676,0.048830282,0.048830282,0.015020017
2,4,0.033877626,0.03714278,0.03714278,-0.00317505
3,5,0.06389967,0.03479778,0.04376322,0.030022047
4,6,0.114266515,0.06657505,0.06657505,0.05036684
5,7,0.022353768,0.027705986,0.111282215,-0.09191275
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.02203266,1000000000,0.02203266,0
1,3,0.027866118,0.02934002,0.02934002,0.005833458
2,4,0.026743233,0.006568788,0.030787304,-0.0011228845
3,5,0.051485598,0.030176183,0.03643437,0.024742365
4,6,0.12867652,0.08815976,0.08815976,0.07719092
5,7,0.017660098,0.027094277,0.12674029,-0.11101642
