rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.12284688,1000000000,0.12284688,0
1,3,0.061878905,0.07811876,0.07811876,-0.060967974
2,4,0.14918992,0.15718356,0.15718356,0.087311015
3,5,0.20688194,0.13957168,0.13957168,0.05769202
4,6,0.13099533,0.1252242,0.17827511,-0.07588661
5,7,0.105292395,0.072926685,0.072926685,-0.025702938
6,8,0.12542306,0.021245997,0.058582455,0.020130664
7,9,0.10198372,0.11880801,0.19835904,-0.02343934
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.0,1000000000,1,0
1,3,0.05432898,0.05432898,0.05432898,0.05432898
2,4,0.0,0.0,0.05432898,-0.05432898
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.12284688,1000000000,0.12284688,0
1,3,0.061878905,0.07811876,0.07811876,-0.060967974
2,4,0.14918992,0.15718356,0.15718356,0.087311015
3,5,0.20688194,0.13957168,0.13957168,0.05769202
4,6,0.13099533,0.1252242,0.17827511,-0.07588661
5,7,0.105292395,0.072926685,0.072926685,-0.025702938
6,8,0.12542306,0.021245997,0.058582455,0.020130664
7,9,0.10198372,0.11880801,0.19835904,-0.02343934
