rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.119203046,1000000000,0.119203046,0
1,3,0.06570282,0.086935304,0.086935304,-0.053500228
2,4,0.17182611,0.18203136,0.18203136,0.10612329
3,5,0.18298404,0.06044432,0.06044432,0.01115793
4,6,0.08137152,0.11069981,0.2032198,-0.101612516
5,7,0.17796884,0.047993366,0.19756766,0.09659732
6,8,0.1856318,0.08157423,0.08157423,0.007662952
7,9,0.11501566,0.076379985,0.21424077,-0.07061613
8,10,0.2068144,0.11782956,0.1702505,0.09179873
9,11,0.1454523,0.11802655,0.21025403,-0.061362088
10,12,0.21299374,0.13454783,0.15204431,0.067541435
11,13,0.15880309,0.061832983,0.21635365,-0.05419065
12,14,0.23269625,0.065921746,0.16442113,0.07389316
13,15,0.097227775,0.05407955,0.18910955,-0.13546848
14,16,0.1723314,0.029997377,0.19284934,0.07510362
15,17,0.22454938,0.092180684,0.092180684,0.05221799
16,18,0.19457154,0.057690587,0.13142642,-0.029977843
17,19,0.23964806,0.08774909,0.08774909,0.04507652
18,20,0.23269512,0.043441195,0.09946447,-0.0069529414
19,21,0.24731158,0.04123627,0.091668256,0.01461646
20,22,0.11793618,0.08123608,0.2680535,-0.1293754
21,23,0.16683921,0.09142243,0.21491787,0.048903033
22,24,0.14590119,0.07783665,0.20898835,-0.020938024
23,25,0.22249758,0.07081031,0.16981483,0.076596394
24,26,0.26216975,0.06884818,0.07787643,0.039672166
25,27,0.23254225,0.0064902063,0.14604232,-0.029627502
26,28,0.26909518,0.04544657,0.13828701,0.036552936
27,29,0.20330417,0.114441454,0.31565824,-0.06579101
28,30,0.25926098,0.11403575,0.15333554,0.05595681
29,31,0.2071904,0.022543754,0.15480632,-0.052070588
30,32,0.2621496,0.023343619,0.15178609,0.054959208
31,33,0.16761026,0.011713233,0.20572007,-0.094539344
32,34,0.15433903,0.07888815,0.102127,-0.0132712275
33,35,0.09245235,0.11288877,0.16147177,-0.061886683
34,36,0.16363269,0.06658509,0.14436878,0.07118034
35,37,0.19771814,0.097770736,0.27137128,0.034085453
36,38,0.26203257,0.103623845,0.1643398,0.064314425
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.119203046,1000000000,0.119203046,0
1,3,0.06570282,0.086935304,0.086935304,-0.053500228
2,4,0.17182611,0.18203136,0.18203136,0.10612329
3,5,0.18298404,0.06044432,0.06044432,0.01115793
4,6,0.08137152,0.11069981,0.2032198,-0.101612516
5,7,0.17796884,0.047993366,0.19756766,0.09659732
6,8,0.1856318,0.08157423,0.08157423,0.007662952
7,9,0.11501566,0.076379985,0.21424077,-0.07061613
8,10,0.2068144,0.11782956,0.1702505,0.09179873
9,11,0.1454523,0.11802655,0.21025403,-0.061362088
