rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.15680233,1000000000,0.15680233,0
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.040935904,1000000000,0.040935904,0
1,3,0.047217544,0.06460026,0.06460026,0.0062816404
2,4,0.04588178,0.018293392,0.018293392,-0.0013357624
3,5,0.060827892,0.040212125,0.044588782,0.014946111
4,6,0.059709545,0.018387217,0.018387217,-0.001118347
5,7,0.06231082,0.022634951,0.04709429,0.0026012734
6,8,0.07314248,0.023916442,0.03990251,0.010831658
7,9,0.0,0.040935904,0.07314248,-0.07314248
8,10,0.04588178,0.0,0.04588178,0.04588178
9,11,0.047217544,0.0,0.018293392,0.0013357624
10,12,0.059787262,0.011454667,0.025260396,0.012569718
11,13,0.059787262,0.0,0.0,0.0
12,14,0.041488614,0.041488614,0.08127656,-0.018298648
13,15,0.04356347,0.0072699655,0.0072699655,0.0020748563
14,16,0.07183232,0.030715562,0.030715562,0.028268851
15,17,0.08745536,0.08745536,0.11325425,0.0156230405
16,18,0.081620224,0.04803941,0.04803941,-0.0058351383
17,19,0.08194818,0.008265233,0.008265233,0.00032795966
18,20,0.09469208,0.031474378,0.031474378,0.012743898
19,21,0.040537305,0.040537305,0.08740418,-0.054154776
20,22,0.10229122,0.09956342,0.113208346,0.061753914
21,23,0.08800501,0.005413568,0.15423542,-0.014286213
22,24,0.11419509,0.0430702,0.16267146,0.026190087
23,25,0.08198719,0.004840797,0.14852765,-0.032207906
24,26,0.11428388,0.007907694,0.14830899,0.032296695
25,27,0.082315594,0.004798146,0.14775018,-0.031968288
26,28,0.13025741,0.029876344,0.1530379,0.04794182
27,29,0.094994456,0.00463996,0.14746617,-0.035262957
28,30,0.11041276,0.0665489,0.10311827,0.015418306
29,31,0.108028986,0.04451746,0.04451746,-0.002383776
30,32,0.10760863,0.00793173,0.00793173,-0.0004203543
31,33,0.11760568,0.026693996,0.026693996,0.0099970475
32,34,0.040866368,0.020494515,0.13584784,-0.07673931
33,35,0.05848907,0.042120524,0.07124218,0.017622702
34,36,0.07149195,0.040549923,0.040549923,0.01300288
35,37,0.03741334,0.029321758,0.05165371,-0.03407861
36,38,0.06322561,0.05167806,0.0667643,0.025812272
37,39,0.040935904,0.0,0.07482973,-0.022289708
38,40,0.035140764,0.028168073,0.05285343,-0.00579514
39,41,0.060827892,0.0,0.05569698,0.025687128
40,42,0.053483278,0.034171727,0.041944344,-0.0073446147
41,43,0.056849513,0.01712393,0.059814394,0.0033662356
42,44,0.06847848,0.015951473,0.0396434,0.011628967
43,45,0.03150444,0.016097995,0.05355998,-0.03697404
44,46,0.061144095,0.05141328,0.06103579,0.029639654
45,47,0.13207911,0.12187805,0.12187805,0.07093501
46,48,0.13944742,0.03168469,0.03168469,0.0073683113
47,49,0.059709836,0.028292486,0.1503523,-0.07973759
48,50,0.13498528,0.0526725,0.12308596,0.07527545
49,51,0.12763205,0.06174027,0.068776555,-0.0073532313
50,52,0.13193911,0.05487806,0.05487806,0.0043070614
51,53,0.03506699,0.012454335,0.12715897,-0.09687212
52,54,0.06200884,0.045515005,0.055545606,0.02694185
53,55,0.05142244,0.019536994,0.055563334,-0.0105864
54,56,0.061709724,0.01489839,0.06270954,0.010287285
55,57,0.13474917,0.028893678,0.124223985,0.07303945
56,58,0.13330592,0.015447975,0.015447975,-0.001443252
57,59,0.0474753,0.027783481,0.1360627,-0.08583062
58,60,0.056209717,0.026205514,0.026205514,0.008734416
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.15680233,1000000000,0.15680233,0
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.040935904,1000000000,0.040935904,0
1,3,0.047217544,0.06460026,0.06460026,0.0062816404
2,4,0.04588178,0.018293392,0.018293392,-0.0013357624
3,5,0.060827892,0.040212125,0.044588782,0.014946111
4,6,0.059709545,0.018387217,0.018387217,-0.001118347
5,7,0.06231082,0.022634951,0.04709429,0.0026012734
6,8,0.07314248,0.023916442,0.03990251,0.010831658
7,9,0.0,0.040935904,0.07314248,-0.07314248
8,10,0.04588178,0.0,0.04588178,0.04588178
9,11,0.047217544,0.0,0.018293392,0.0013357624
10,12,0.059787262,0.011454667,0.025260396,0.012569718
11,13,0.059787262,0.0,0.0,0.0
12,14,0.041488614,0.041488614,0.08127656,-0.018298648
13,15,0.04356347,0.0072699655,0.0072699655,0.0020748563
14,16,0.07183232,0.030715562,0.030715562,0.028268851
15,17,0.08745536,0.08745536,0.11325425,0.0156230405
16,18,0.081620224,0.04803941,0.04803941,-0.0058351383
17,19,0.08194818,0.008265233,0.008265233,0.00032795966
18,20,0.09469208,0.031474378,0.031474378,0.012743898
19,21,0.040537305,0.040537305,0.08740418,-0.054154776
20,22,0.10229122,0.09956342,0.113208346,0.061753914
21,23,0.08800501,0.005413568,0.15423542,-0.014286213
22,24,0.11419509,0.0430702,0.16267146,0.026190087
23,25,0.08198719,0.004840797,0.14852765,-0.032207906
24,26,0.11428388,0.007907694,0.14830899,0.032296695
25,27,0.082315594,0.004798146,0.14775018,-0.031968288
26,28,0.13025741,0.029876344,0.1530379,0.04794182
27,29,0.094994456,0.00463996,0.14746617,-0.035262957
28,30,0.11041276,0.0665489,0.10311827,0.015418306
29,31,0.108028986,0.04451746,0.04451746,-0.002383776
30,32,0.10760863,0.00793173,0.00793173,-0.0004203543
31,33,0.11760568,0.026693996,0.026693996,0.0099970475
32,34,0.040866368,0.020494515,0.13584784,-0.07673931
33,35,0.05848907,0.042120524,0.07124218,0.017622702
34,36,0.07149195,0.040549923,0.040549923,0.01300288
35,37,0.03741334,0.029321758,0.05165371,-0.03407861
36,38,0.06322561,0.05167806,0.0667643,0.025812272
37,39,0.040935904,0.0,0.07482973,-0.022289708
38,40,0.035140764,0.028168073,0.05285343,-0.00579514
39,41,0.060827892,0.0,0.05569698,0.025687128
40,42,0.053483278,0.034171727,0.041944344,-0.0073446147
41,43,0.056849513,0.01712393,0.059814394,0.0033662356
42,44,0.06847848,0.015951473,0.0396434,0.011628967
43,45,0.03150444,0.016097995,0.05355998,-0.03697404
44,46,0.061144095,0.05141328,0.06103579,0.029639654
45,47,0.13207911,0.12187805,0.12187805,0.07093501
46,48,0.13944742,0.03168469,0.03168469,0.0073683113
47,49,0.059709836,0.028292486,0.1503523,-0.07973759
48,50,0.13498528,0.0526725,0.12308596,0.07527545
49,51,0.12763205,0.06174027,0.068776555,-0.0073532313
50,52,0.13193911,0.05487806,0.05487806,0.0043070614
51,53,0.03506699,0.012454335,0.12715897,-0.09687212
52,54,0.06200884,0.045515005,0.055545606,0.02694185
53,55,0.05142244,0.019536994,0.055563334,-0.0105864
54,56,0.061709724,0.01489839,0.06270954,0.010287285
55,57,0.13474917,0.028893678,0.124223985,0.07303945
56,58,0.13330592,0.015447975,0.015447975,-0.001443252
57,59,0.0474753,0.027783481,0.1360627,-0.08583062
58,60,0.056209717,0.026205514,0.026205514,0.008734416
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.15680233,1000000000,0.15680233,0
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.040935904,1000000000,0.040935904,0
1,3,0.047217544,0.06460026,0.06460026,0.0062816404
2,4,0.04588178,0.018293392,0.018293392,-0.0013357624
3,5,0.060827892,0.040212125,0.044588782,0.014946111
4,6,0.059709545,0.018387217,0.018387217,-0.001118347
5,7,0.06231082,0.022634951,0.04709429,0.0026012734
6,8,0.07314248,0.023916442,0.03990251,0.010831658
7,9,0.0,0.040935904,0.07314248,-0.07314248
8,10,0.04588178,0.0,0.04588178,0.04588178
9,11,0.047217544,0.0,0.018293392,0.0013357624
10,12,0.059787262,0.011454667,0.025260396,0.012569718
11,13,0.059787262,0.0,0.0,0.0
12,14,0.041488614,0.041488614,0.08127656,-0.018298648
13,15,0.04356347,0.0072699655,0.0072699655,0.0020748563
14,16,0.07183232,0.030715562,0.030715562,0.028268851
15,17,0.08745536,0.08745536,0.11325425,0.0156230405
16,18,0.081620224,0.04803941,0.04803941,-0.0058351383
17,19,0.08194818,0.008265233,0.008265233,0.00032795966
18,20,0.09469208,0.031474378,0.031474378,0.012743898
19,21,0.040537305,0.040537305,0.08740418,-0.054154776
20,22,0.10229122,0.09956342,0.113208346,0.061753914
21,23,0.08800501,0.005413568,0.15423542,-0.014286213
22,24,0.11419509,0.0430702,0.16267146,0.026190087
23,25,0.08198719,0.004840797,0.14852765,-0.032207906
24,26,0.11428388,0.007907694,0.14830899,0.032296695
25,27,0.082315594,0.004798146,0.14775018,-0.031968288
26,28,0.13025741,0.029876344,0.1530379,0.04794182
27,29,0.094994456,0.00463996,0.14746617,-0.035262957
28,30,0.11041276,0.0665489,0.10311827,0.015418306
29,31,0.108028986,0.04451746,0.04451746,-0.002383776
30,32,0.10760863,0.00793173,0.00793173,-0.0004203543
31,33,0.11760568,0.026693996,0.026693996,0.0099970475
32,34,0.040866368,0.020494515,0.13584784,-0.07673931
33,35,0.05848907,0.042120524,0.07124218,0.017622702
34,36,0.07149195,0.040549923,0.040549923,0.01300288
35,37,0.03741334,0.029321758,0.05165371,-0.03407861
36,38,0.06322561,0.05167806,0.0667643,0.025812272
37,39,0.040935904,0.0,0.07482973,-0.022289708
38,40,0.035140764,0.028168073,0.05285343,-0.00579514
39,41,0.060827892,0.0,0.05569698,0.025687128
40,42,0.053483278,0.034171727,0.041944344,-0.0073446147
41,43,0.056849513,0.01712393,0.059814394,0.0033662356
42,44,0.06847848,0.015951473,0.0396434,0.011628967
43,45,0.03150444,0.016097995,0.05355998,-0.03697404
44,46,0.061144095,0.05141328,0.06103579,0.029639654
45,47,0.13207911,0.12187805,0.12187805,0.07093501
46,48,0.13944742,0.03168469,0.03168469,0.0073683113
47,49,0.059709836,0.028292486,0.1503523,-0.07973759
48,50,0.13498528,0.0526725,0.12308596,0.07527545
49,51,0.12763205,0.06174027,0.068776555,-0.0073532313
50,52,0.13193911,0.05487806,0.05487806,0.0043070614
51,53,0.03506699,0.012454335,0.12715897,-0.09687212
52,54,0.06200884,0.045515005,0.055545606,0.02694185
53,55,0.05142244,0.019536994,0.055563334,-0.0105864
54,56,0.061709724,0.01489839,0.06270954,0.010287285
55,57,0.13474917,0.028893678,0.124223985,0.07303945
56,58,0.13330592,0.015447975,0.015447975,-0.001443252
57,59,0.0474753,0.027783481,0.1360627,-0.08583062
58,60,0.056209717,0.026205514,0.026205514,0.008734416
