rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.2161679,1000000000,0.2161679,0
1,3,0.23284426,0.09698946,0.09698946,0.016676366
2,4,0.23726392,0.09013813,0.14114828,0.0044196546
3,5,0.24406178,0.070503175,0.070503175,0.006797865
4,6,0.24679598,0.064262845,0.064262845,0.0027341992
5,7,0.2491737,0.095055796,0.15788546,0.0023777187
6,8,0.2596146,0.07626014,0.07626014,0.010440886
7,9,0.264666,0.03494328,0.19945927,0.0050514042
8,10,0.27315703,0.033056896,0.19956802,0.008491039
9,11,0.037652005,0.22865649,0.2741916,-0.23550503
10,12,0.27373323,0.0944362,0.28021076,0.23608123
11,13,0.27596846,0.05375486,0.09807399,0.0022352338
12,14,0.28500697,0.074388355,0.20351277,0.009038508
13,15,0.29055163,0.11803387,0.20506573,0.0055446625
14,16,0.16659798,0.16367806,0.29294878,-0.123953655
15,17,0.26669014,0.1376253,0.19932054,0.10009216
16,18,0.29119936,0.038403817,0.19506644,0.024509221
17,19,0.3132894,0.08980734,0.103236236,0.022090048
18,20,0.29008698,0.08314098,0.17202431,-0.02320242
