rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.07133633,1000000000,0.07133633,0
1,3,0.05181057,0.04215338,0.04215338,-0.019525759
2,4,0.038953118,0.06714968,0.07121777,-0.012857452
3,5,0.0713604,0.0007583197,0.06719554,0.032407284
4,6,0.045945488,0.0644377,0.10296465,-0.025414914
5,7,0.072341084,0.010642082,0.103939205,0.026395597
6,8,0.0057981326,0.041530754,0.07799987,-0.06654295
7,9,0.07321084,0.014769599,0.078770824,0.06741271
8,10,0.04341655,0.043800898,0.082860656,-0.029794294
9,11,0.07284449,0.010933884,0.08255256,0.029427942
10,12,0.051006872,0.04074967,0.08852445,-0.021837618
11,13,0.0441974,0.027035847,0.027035847,-0.006809473
12,14,0.060984913,0.02711067,0.029685073,0.016787514
13,15,0.10263483,0.09254698,0.09448765,0.04164992
14,16,0.05825832,0.029158764,0.11651646,-0.04437651
15,17,0.04848615,0.011171082,0.07533311,-0.00977217
16,18,0.049862348,0.00878567,0.00878567,0.0013761967
17,19,0.112939164,0.08142484,0.09794611,0.06307682
18,20,0.06373871,0.011157941,0.097493425,-0.049200453
19,21,0.11226497,0.03272744,0.085795484,0.048526257
20,22,0.112506084,0.007294178,0.007294178,0.00024111569
21,23,0.11741584,0.016064212,0.016533287,0.004909754
22,24,0.028386485,0.023976108,0.120482616,-0.08902936
23,25,0.14049068,0.07662458,0.14276966,0.11210419
24,26,0.1274119,0.029432287,0.029432287,-0.013078779
25,27,0.1462054,0.02851125,0.042586833,0.018793494
26,28,0.13316205,0.02853591,0.028773626,-0.013043344
27,29,0.1705936,0.04309566,0.0592459,0.037431553
28,30,0.17279352,0.028030995,0.028030995,0.002199918
29,31,0.0725983,0.008103889,0.19494958,-0.10019522
30,32,0.10514475,0.03771129,0.12609528,0.032546446
31,33,0.094422214,0.014220765,0.014220765,-0.010722533
32,34,0.12334626,0.07218697,0.07293764,0.028924048
33,35,0.11429673,0.014894262,0.014894262,-0.009049535
34,36,0.119024314,0.021030003,0.07894737,0.004727587
35,37,0.13697353,0.02286117,0.071355574,0.017949216
36,38,0.15710644,0.060650986,0.09386725,0.020132914
37,39,0.10467154,0.0072369887,0.06310817,-0.052434906
38,40,0.1656182,0.021441396,0.0700967,0.06094666
39,41,0.10559288,0.0058181114,0.06987082,-0.06002532
40,42,0.15216143,0.024441537,0.088570505,0.046568558
41,43,0.09439881,0.0031113978,0.09279545,-0.057762623
42,44,0.10833422,0.024351379,0.03881015,0.0139354095
43,45,0.09451319,0.055841494,0.14434695,-0.013821028
44,46,0.07512508,0.011717376,0.04691744,-0.01938811
45,47,0.07161172,0.005659121,0.020197961,-0.003513366
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.07133633,1000000000,0.07133633,0
1,3,0.05181057,0.04215338,0.04215338,-0.019525759
2,4,0.038953118,0.06714968,0.07121777,-0.012857452
3,5,0.0713604,0.0007583197,0.06719554,0.032407284
4,6,0.045945488,0.0644377,0.10296465,-0.025414914
5,7,0.072341084,0.010642082,0.103939205,0.026395597
6,8,0.0057981326,0.041530754,0.07799987,-0.06654295
7,9,0.07321084,0.014769599,0.078770824,0.06741271
8,10,0.04341655,0.043800898,0.082860656,-0.029794294
9,11,0.07284449,0.010933884,0.08255256,0.029427942
10,12,0.051006872,0.04074967,0.08852445,-0.021837618
11,13,0.0441974,0.027035847,0.027035847,-0.006809473
12,14,0.060984913,0.02711067,0.029685073,0.016787514
13,15,0.10263483,0.09254698,0.09448765,0.04164992
14,16,0.05825832,0.029158764,0.11651646,-0.04437651
15,17,0.04848615,0.011171082,0.07533311,-0.00977217
16,18,0.049862348,0.00878567,0.00878567,0.0013761967
17,19,0.112939164,0.08142484,0.09794611,0.06307682
18,20,0.06373871,0.011157941,0.097493425,-0.049200453
19,21,0.11226497,0.03272744,0.085795484,0.048526257
20,22,0.112506084,0.007294178,0.007294178,0.00024111569
21,23,0.11741584,0.016064212,0.016533287,0.004909754
22,24,0.028386485,0.023976108,0.120482616,-0.08902936
23,25,0.14049068,0.07662458,0.14276966,0.11210419
24,26,0.1274119,0.029432287,0.029432287,-0.013078779
25,27,0.1462054,0.02851125,0.042586833,0.018793494
26,28,0.13316205,0.02853591,0.028773626,-0.013043344
27,29,0.1705936,0.04309566,0.0592459,0.037431553
28,30,0.17279352,0.028030995,0.028030995,0.002199918
29,31,0.0725983,0.008103889,0.19494958,-0.10019522
30,32,0.10514475,0.03771129,0.12609528,0.032546446
31,33,0.094422214,0.014220765,0.014220765,-0.010722533
32,34,0.12334626,0.07218697,0.07293764,0.028924048
33,35,0.11429673,0.014894262,0.014894262,-0.009049535
34,36,0.119024314,0.021030003,0.07894737,0.004727587
35,37,0.13697353,0.02286117,0.071355574,0.017949216
36,38,0.15710644,0.060650986,0.09386725,0.020132914
37,39,0.10467154,0.0072369887,0.06310817,-0.052434906
38,40,0.1656182,0.021441396,0.0700967,0.06094666
39,41,0.10559288,0.0058181114,0.06987082,-0.06002532
40,42,0.15216143,0.024441537,0.088570505,0.046568558
41,43,0.09439881,0.0031113978,0.09279545,-0.057762623
42,44,0.10833422,0.024351379,0.03881015,0.0139354095
43,45,0.09451319,0.055841494,0.14434695,-0.013821028
44,46,0.07512508,0.011717376,0.04691744,-0.01938811
45,47,0.07161172,0.005659121,0.020197961,-0.003513366
