rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.039683472,1000000000,0.039683472,0
1,3,0.04539499,0.03782217,0.03782217,0.005711518
2,4,0.10310452,0.12056274,0.1278795,0.057709526
3,5,0.10780478,0.032989293,0.032989293,0.004700266
4,6,0.10322305,0.10340965,0.12324126,-0.0045817345
5,7,0.11523928,0.095183626,0.16533883,0.012016229
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.039683472,1000000000,0.039683472,0
1,3,0.04539499,0.03782217,0.03782217,0.005711518
2,4,0.10310452,0.12056274,0.1278795,0.057709526
3,5,0.10780478,0.032989293,0.032989293,0.004700266
4,6,0.10322305,0.10340965,0.12324126,-0.0045817345
5,7,0.11523928,0.095183626,0.16533883,0.012016229
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.039683472,1000000000,0.039683472,0
1,3,0.04539499,0.03782217,0.03782217,0.005711518
2,4,0.10310452,0.12056274,0.1278795,0.057709526
3,5,0.10780478,0.032989293,0.032989293,0.004700266
4,6,0.10322305,0.10340965,0.12324126,-0.0045817345
5,7,0.11523928,0.095183626,0.16533883,0.012016229
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.099433385,1000000000,0.099433385,0
1,3,0.112344354,0.054900263,0.054900263,0.01291097
2,4,0.13359684,0.03989469,0.03989469,0.021252483
3,5,0.10697754,0.123975016,0.13149437,-0.0266193
4,6,0.07757476,0.07964242,0.09281977,-0.029402778
5,7,0.10097437,0.049854968,0.06579921,0.023399614
6,8,0.10625621,0.04228066,0.04228066,0.005281836
7,9,0.068084635,0.03914346,0.07655614,-0.038171574
8,10,0.08259839,0.10583245,0.121260285,0.014513753
9,11,0.04880151,0.064316735,0.064316735,-0.033796877
10,12,0.06642566,0.043638047,0.07678842,0.017624147
11,13,0.07915991,0.06504496,0.11476387,0.012734249
12,14,0.093822904,0.05348724,0.05348724,0.014662996
13,15,0.067607775,0.045140214,0.07910027,-0.026215129
14,16,0.09082227,0.056547847,0.07342703,0.023214497
15,17,0.10736456,0.04780435,0.05300699,0.016542286
16,18,0.08115652,0.047408264,0.07715319,-0.026208036
17,19,0.08313841,0.02797567,0.07785008,0.0019818842
18,20,0.11553033,0.06371362,0.08687951,0.03239192
19,21,0.07049884,0.024304643,0.11681613,-0.045031488
20,22,0.11188994,0.039443895,0.090256885,0.041391104
21,23,0.08948449,0.030159453,0.0563754,-0.022405453
22,24,0.11271589,0.039101657,0.04703322,0.023231402
23,25,0.09351527,0.021374213,0.07067606,-0.019200623
24,26,0.12682684,0.04325973,0.086432755,0.03331157
25,27,0.08330079,0.017190997,0.11513707,-0.043526046
26,28,0.12074626,0.039624356,0.08399094,0.03744547
27,29,0.097588845,0.035139866,0.056633115,-0.023157418
28,30,0.12174731,0.039086457,0.04354247,0.024158463
29,31,0.11376956,0.025017118,0.074028805,-0.007977746
30,32,0.09448176,0.025858494,0.051968023,-0.019287802
31,33,0.11596861,0.020775171,0.047907688,0.021486849
32,34,0.12227995,0.021119524,0.03130631,0.006311342
33,35,0.12138938,0.01856201,0.074834846,-0.0008905679
34,36,0.10161976,0.02034787,0.05206883,-0.019769624
35,37,0.124599464,0.01316095,0.042206056,0.022979707
36,38,0.12816687,0.01610756,0.019977286,0.003567405
37,39,0.12689932,0.020432338,0.05640055,-0.0012675524
38,40,0.050238166,0.08204174,0.12320232,-0.076661155
39,41,0.054760385,0.07398262,0.07398262,0.0045222193
40,42,0.07094658,0.045401294,0.045401294,0.016186196
41,43,0.12854148,0.037544552,0.16860546,0.057594903
42,44,0.15099409,0.04133784,0.04133784,0.022452608
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.05247858,1000000000,0.05247858,0
1,3,0.10950167,0.11015974,0.11015974,0.057023086
2,4,0.12864937,0.04979399,0.04979399,0.019147702
3,5,0.10845495,0.104707286,0.11906576,-0.020194419
4,6,0.124636814,0.05154308,0.05154308,0.016181864
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.039683472,1000000000,0.039683472,0
1,3,0.04539499,0.03782217,0.03782217,0.005711518
2,4,0.10310452,0.12056274,0.1278795,0.057709526
3,5,0.10780478,0.032989293,0.032989293,0.004700266
4,6,0.10322305,0.10340965,0.12324126,-0.0045817345
5,7,0.11523928,0.095183626,0.16533883,0.012016229
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.099433385,1000000000,0.099433385,0
1,3,0.112344354,0.054900263,0.054900263,0.01291097
2,4,0.13359684,0.03989469,0.03989469,0.021252483
3,5,0.10697754,0.123975016,0.13149437,-0.0266193
4,6,0.07757476,0.07964242,0.09281977,-0.029402778
5,7,0.10097437,0.049854968,0.06579921,0.023399614
6,8,0.10625621,0.04228066,0.04228066,0.005281836
7,9,0.068084635,0.03914346,0.07655614,-0.038171574
8,10,0.08259839,0.10583245,0.121260285,0.014513753
9,11,0.04880151,0.064316735,0.064316735,-0.033796877
10,12,0.06642566,0.043638047,0.07678842,0.017624147
11,13,0.07915991,0.06504496,0.11476387,0.012734249
12,14,0.093822904,0.05348724,0.05348724,0.014662996
13,15,0.067607775,0.045140214,0.07910027,-0.026215129
14,16,0.09082227,0.056547847,0.07342703,0.023214497
15,17,0.10736456,0.04780435,0.05300699,0.016542286
16,18,0.08115652,0.047408264,0.07715319,-0.026208036
17,19,0.08313841,0.02797567,0.07785008,0.0019818842
18,20,0.11553033,0.06371362,0.08687951,0.03239192
19,21,0.07049884,0.024304643,0.11681613,-0.045031488
