rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.08150581,1000000000,0.08150581,0
1,3,0.041847814,0.06847689,0.06847689,-0.039658
2,4,0.046005253,0.03325391,0.03325391,0.004157439
3,5,0.045149222,0.07462124,0.07462124,-0.00085603073
4,6,0.050255965,0.037643302,0.053435743,0.0051067434
5,7,0.14584443,0.14742275,0.16590166,0.09558846
6,8,0.04694319,0.04629988,0.18133457,-0.09890124
7,9,0.052515805,0.019202247,0.067409046,0.0055726133
8,10,0.05598284,0.020554466,0.041739587,0.0034670345
9,11,0.06485924,0.07785521,0.11327848,0.008876402
10,12,0.047594722,0.034334503,0.08560339,-0.017264519
11,13,0.06791914,0.046446003,0.046446003,0.02032442
12,14,0.0,0.041847814,0.06791914,-0.06791914
13,15,0.06957431,0.029568622,0.06957431,0.06957431
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.10793914,1000000000,0.10793914,0
1,3,0.12462285,0.05303659,0.05303659,0.016683713
2,4,0.0,0.10793914,0.12462285,-0.12462285
3,5,0.0,0.0,0.0,0.0
4,6,0.028330423,0.028330423,0.028330423,0.028330423
5,7,0.019718982,0.019718982,0.04308441,-0.008611441
6,8,0.07547413,0.0607203,0.08899125,0.055755146
rank,src_id,norm1,min_vector_similarity,neighbor_vector_similarity,neighbor_similarity_diff
0,2,0.02148233,1000000000,0.02148233,0
1,3,0.048011046,0.056520794,0.056520794,0.026528716
2,4,0.07147302,0.07473327,0.085015655,0.023461971
3,5,0.034270395,0.021704135,0.07803124,-0.037202623
4,6,0.027812572,0.01384316,0.05153111,-0.0064578224
5,7,0.04361455,0.015914002,0.06538223,0.01580198
6,8,0.014316461,0.026265452,0.032273836,-0.02929809
7,9,0.017089803,0.01614504,0.021345256,0.0027733417
8,10,0.09040086,0.07232651,0.08583836,0.07331106
9,11,0.015305372,0.013919527,0.08460933,-0.07509549
10,12,0.053609703,0.045870792,0.048113234,0.03830433
